id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-219263,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the sudo command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219263r610963_rule,F-20987r305118_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""sudo"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/usr/bin/sudo -F perm=x -F auid>=1000 -F auid!=4294967295 -k priv_cmd

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20988r305117_chk,"Verify that an audit event is generated for any successful/unsuccessful use of the ""sudo"" command. 

Check the configured audit rules with the following command:

# sudo auditctl -l | grep /usr/bin/sudo

-a always,exit -F path=/usr/bin/sudo -F perm=x -F auid>=1000 -F auid!=-1 -k priv_cmd

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219267,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the chcon command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219267r610963_rule,F-20991r305130_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""chcon"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/usr/bin/chcon -F perm=x -F auid>=1000 -F auid!=4294967295 -k perm_chng

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20992r305129_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""chcon"" command occur.

Check the currently configured audit rules with the following command:

# sudo auditctl -l | grep chcon

-a always,exit -F path=/usr/bin/chcon -F perm=x -F auid>=1000 -F auid!=-1 -k perm_chng

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219266,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the newgrp command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219266r610963_rule,F-20990r305127_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""newgrp"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/usr/bin/newgrp -F perm=x -F auid>=1000 -F auid!=4294967295 -k priv_cmd

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20991r305126_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""newgrp"" command occur.

Check the configured audit rules with the following commands:

# sudo auditctl -l | grep newgrp

-a always,exit -F path=/usr/bin/newgrp -F perm=x -F auid>=1000 -F auid!=-1 -k priv_cmd

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219265,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the chsh command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219265r610963_rule,F-20989r305124_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""chsh"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/usr/bin/chsh -F perm=x -F auid>=1000 -F auid!=4294967295 -k priv_cmd

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20990r305123_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""chsh"" command.

Check the configured audit rules with the following commands:

# sudo auditctl -l | grep chsh

-a always,exit -F path=/usr/bin/chsh -F perm=x -F auid>=1000 -F auid!=-1 -k priv_cmd

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Notes: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219264,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the sudoedit command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219264r610963_rule,F-20988r305121_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""sudoedit"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"":

-a always,exit -F path=/usr/bin/sudoedit -F perm=x -F auid>=1000 -F auid!=4294967295 -k priv_cmd

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20989r305120_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""sudoedit"" command occur.

Check the configured audit rules with the following commands:

# sudo auditctl -l | grep /usr/bin/sudoedit

-a always,exit -F path=/usr/bin/sudoedit -F perm=x -F auid>=1000 -F auid!=-1 -k priv_cmd

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219269,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the setfacl command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219269r610963_rule,F-20993r305136_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""setfacl"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/usr/bin/setfacl -F perm=x -F auid>=1000 -F auid!=4294967295 -k perm_chng

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20994r305135_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""setfacl"" command occur.

Check the currently configured audit rules with the following command:

# sudo auditctl -l | grep setfacl

-a always,exit -F path=/usr/bin/setfacl -F perm=x -F auid>=1000 -F auid!=-1 -k perm_chng

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219268,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the apparmor_parser command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219268r610963_rule,F-20992r305133_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""apparmor_parser"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/sbin/apparmor_parser -F perm=x -F auid>=1000 -F auid!=4294967295 -k perm_chng

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20993r305132_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""apparmor_parser"" command occur.

Check the currently configured audit rules with the following command:

# sudo auditctl -l | grep apparmor_parser

-a always,exit -F path=/sbin/apparmor_parser -F perm=x -F auid>=1000 -F auid!=-1 -k perm_chng

If the command does not return a line that matches the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-237770,medium,All local interactive user home directories must be group-owned by the home directory owners primary group.,"If the Group Identifier (GID) of a local interactive user’s home directory is not the same as the primary GID of the user, this would allow unauthorized access to the user’s files, and users that share the same group may not be able to access files that they legitimately should.",None,SV-237770r648742_rule,F-40943r648741_fix,"Change the group owner of a local interactive user’s home directory to the group found in ""/etc/passwd"". To change the group owner of a local interactive user’s home directory, use the following command:

Note: The example will be for the user ""smithj"", who has a home directory of ""/home/smithj"", and has a primary group of users.

$ sudo chgrp users /home/smithj
",C-40984r648740_chk,"Verify the assigned home directory of all local interactive users is group-owned by that user’s primary Group Identifier (GID).

Check the home directory assignment for all non-privileged users on the system with the following command:

Note: This may miss local interactive users that have been assigned a privileged UID. Evidence of interactive use may be obtained from a number of log files containing system logon information. The returned directory ""/home/smithj"" is used as an example.

$ sudo ls -ld $(awk -F: '($3>=1000)&&($7 !~ /nologin/){print $6}' /etc/passwd)

drwxr-x--- 2 smithj admin 4096 Jun 5 12:41 smithj

Check the user's primary group with the following command:

$ sudo grep admin /etc/group
admin:x:250:smithj,jonesj,jacksons

If the user home directory referenced in ""/etc/passwd"" is not group-owned by that user’s primary GID, this is a finding.
"
V-219168,medium,The Ubuntu operating system must prevent direct login into the root account.,"To assure individual accountability and prevent unauthorized access, organizational users must be individually identified and authenticated.

A group authenticator is a generic account used by multiple individuals. Use of a group authenticator alone does not uniquely identify individual users. Examples of the group authenticator is the UNIX OS ""root"" user account, the Windows ""Administrator"" account, the ""sa"" account, or a ""helpdesk"" account.

For example, the UNIX and Windows operating systems offer a 'switch user' capability allowing users to authenticate with their individual credentials and, when needed, 'switch' to the administrator role. This method provides for unique individual authentication prior to using a group authenticator.

Users (and any processes acting on behalf of users) need to be uniquely identified and authenticated for all accesses other than those accesses explicitly identified and documented by the organization, which outlines specific user actions that can be performed on the operating system without identification or authentication.

Requiring individuals to be authenticated with an individual authenticator prior to using a group authenticator allows for traceability of actions, as well as adding an additional level of protection of the actions that can be taken with group account knowledge.",None,SV-219168r610963_rule,F-20892r304833_fix,"Configure the Ubuntu operating system to prevent direct logins to the root account by performing the following operations:

sudo passwd -l root",C-20893r304832_chk,"Verify the Ubuntu operating system prevents direct logins to the root account.

Check that the Ubuntu operating system prevents direct logins to the root account with the following command:

# sudo passwd -S root

root L 11/11/2017 0 99999 7 -1

If the output does not contain ""L"" in the second field to indicate the account is locked, this is a finding."
V-219217,medium,The Ubuntu operating system must generate audit records for the /var/log/wtmp file.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219217r610963_rule,F-20941r304980_fix,"Configure the audit system to generate audit events showing start and stop times for user access via the /var/log/wtmp file.

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-w /var/log/wtmp -p wa -k logins

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.

In order to reload the rules file, issue the following command:

# sudo augenrules --load",C-20942r304979_chk,"Verify the Ubuntu operating system generates audit records showing start and stop times for user access to the system via /va/rlog/wtmp.

Check the currently configured audit rules with the following command:

# sudo auditctl -l | grep '/var/log/wtmp'

-w /var/log/wtmp -p wa -k logins

If the command does not return a line matching the example or the line is commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219319,medium,The Ubuntu operating system must accept Personal Identity Verification (PIV) credentials.,"The use of PIV credentials facilitates standardization and reduces the risk of unauthorized access.

DoD has mandated the use of the CAC to support identity management and personal authentication for systems covered under Homeland Security Presidential Directive (HSPD) 12, as well as making the CAC a primary component of layered protection for national security systems.",None,SV-219319r853387_rule,F-21043r305286_fix,"Configure the Ubuntu operating system to accept Personal Identity Verification (PIV) credentials.

Install the ""opensc-pkcs11"" package using the following command:

# sudo apt-get install opensc-pkcs11",C-21044r305285_chk,"Verify the Ubuntu operating system accepts Personal Identity Verification (PIV) credentials.

Check that the ""opensc-pcks11"" package is installed on the system with the following command:

# dpkg -l | grep opensc-pkcs11

ii opensc-pkcs11:amd64 0.15.0-1Ubuntu1 amd64 Smart card utilities with support for PKCS#15 compatible cards

If the ""opensc-pcks11"" package is not installed, this is a finding."
V-219318,medium,The Ubuntu operating system must implement multifactor authentication for remote access to privileged accounts in such a way that one of the factors is provided by a device separate from the system gaining access.,"Using an authentication device, such as a CAC or token that is separate from the information system, ensures that even if the information system is compromised, that compromise will not affect credentials stored on the authentication device.

Multifactor solutions that require devices separate from information systems gaining access include, for example, hardware tokens providing time-based or challenge-response authenticators and smart cards such as the U.S. Government Personal Identity Verification card and the DoD Common Access Card.

A privileged account is defined as an information system account with authorizations of a privileged user.

Remote access is access to DoD nonpublic information systems by an authorized user (or an information system) communicating through an external, non-organization-controlled network. Remote access methods include, for example, dial-up, broadband, and wireless.

This requirement only applies to components where this is specific to the function of the device or has the concept of an organizational user (e.g., VPN, proxy capability). This does not apply to authentication for the purpose of configuring the device itself (management).

Requires further clarification from NIST.",None,SV-219318r853386_rule,F-21042r305283_fix,"Configure the Ubuntu operating system to implement multifactor authentication by installing the required packages.

Install the ""libpam-pkcs11"" package on the system with the following command:

# sudo apt install libpam-pkcs11",C-21043r305282_chk,"Verify the Ubuntu operating system has the packages required for multifactor authentication installed.

Check for the presence of the packages required to support multifactor authentication with the following commands:

# dpkg -l | grep libpam-pkcs11

ii libpam-pkcs11 0.6.8-4 amd64 Fully featured PAM module for using PKCS#11 smart cards

If the ""libpam-pkcs11"" package is not installed, this is a finding."
V-219317,medium,The Ubuntu operating system must implement smart card logins for multifactor authentication for access to accounts.,"Without the use of multifactor authentication, the ease of access to privileged functions is greatly increased.

Multifactor authentication requires using two or more factors to achieve authentication.

Factors include: 
1) something a user knows (e.g., password/PIN);
2) something a user has (e.g., cryptographic identification device, token); and
3) something a user is (e.g., biometric).

A privileged account is defined as an information system account with authorizations of a privileged user.

Network access is defined as access to an information system by a user (or a process acting on behalf of a user) communicating through a network (e.g., local area network, wide area network, or the Internet).

The DoD CAC with DoD-approved PKI is an example of multifactor authentication.

Satisfies: SRG-OS-000105-GPOS-00052, SRG-OS-000106-GPOS-00053, SRG-OS-000107-GPOS-00054, SRG-OS-000108-GPOS-00055, SRG-OS-000377-GPOS-00162",None,SV-219317r853385_rule,F-21041r305280_fix,"Configure the Ubuntu operating system to use multifactor authentication for local access to accounts.

Add or update ""pam_pkcs11.so"" in ""/etc/pam.d/common-auth"" to match the following line:

auth [success=2 default=ignore] pam_pkcs11.so",C-21042r305279_chk,"Verify the Ubuntu operating system uses multifactor authentication for local access to accounts.

Check that the ""pam_pkcs11.so"" option is configured in the ""/etc/pam.d/common-auth"" file with the following command:

# grep pam_pkcs11.so /etc/pam.d/common-auth
auth [success=2 default=ignore] pam_pkcs11.so

If ""pam_pkcs11.so"" is not set in ""/etc/pam.d/common-auth"", this is a finding."
