id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-238363,high,"The Ubuntu operating system must implement NIST FIPS-validated cryptography to protect classified information and for the following: To provision digital signatures, to generate cryptographic hashes, and to protect unclassified information requiring confidentiality and cryptographic protection in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.","Use of weak or untested encryption algorithms undermines the purposes of utilizing encryption to protect data. The operating system must implement cryptographic modules adhering to the higher standards approved by the federal government since this provides assurance they have been tested and validated.

Satisfies: SRG-OS-000396-GPOS-00176, SRG-OS-000478-GPOS-00223",None,SV-238363r880881_rule,F-41532r880880_fix,"Configure the system to run in FIPS mode. Add ""fips=1"" to the kernel parameter during the Ubuntu operating systems install. 
 
Enabling a FIPS mode on a pre-existing system involves a number of modifications to the Ubuntu operating system. Refer to the Ubuntu Server 18.04 FIPS 140-2 security policy document for instructions.  
 
A subscription to the ""Ubuntu Pro"" plan is required to obtain the FIPS Kernel cryptographic modules and enable FIPS.",C-41573r654262_chk,"Verify the system is configured to run in FIPS mode with the following command: 
 
$ grep -i 1 /proc/sys/crypto/fips_enabled 
1 
 
If a value of ""1"" is not returned, this is a finding."
V-238362,low,The Ubuntu operating system must be configured such that Pluggable Authentication Module (PAM) prohibits the use of cached authentications after one day.,"If cached authentication information is out-of-date, the validity of the authentication information may be questionable.",None,SV-238362r853437_rule,F-41531r654260_fix,"Configure PAM to prohibit the use of cached authentications after one day. Add or change the following line in ""/etc/sssd/sssd.conf"" just below the line ""[pam]"": 
 
offline_credentials_expiration = 1 
 
Note: It is valid for this configuration to be in a file with a name that ends with "".conf"" and does not begin with a ""."" in the ""/etc/sssd/conf.d/"" directory instead of the ""/etc/sssd/sssd.conf"" file.",C-41572r654259_chk,"If smart card authentication is not being used on the system, this s Not Applicable. 
 
Verify that PAM prohibits the use of cached authentications after one day with the following command: 
 
$ sudo grep offline_credentials_expiration /etc/sssd/sssd.conf /etc/sssd/conf.d/*.conf 
 
offline_credentials_expiration = 1 
 
If ""offline_credentials_expiration"" is not set to a value of ""1"" in ""/etc/sssd/sssd.conf"" or in a file with a name ending in .conf in the ""/etc/sssd/conf.d/"" directory, this is a finding."
V-238361,medium,The Ubuntu operating system must allow the use of a temporary password for system logons with an immediate change to a permanent password.,"Without providing this capability, an account may be created without a password. Non-repudiation cannot be guaranteed once an account is created if a user is not forced to change the temporary password upon initial logon. 
 
Temporary passwords are typically used to allow access when new accounts are created or passwords are changed. It is common practice for administrators to create temporary passwords for user accounts which allow the users to log on, yet force them to change the password once they have successfully authenticated.",None,SV-238361r853436_rule,F-41530r654257_fix,"Create a policy that ensures when a user is created, it is created using a method that forces a user to change their password upon their next login. 
 
Below are two examples of how to create a user account that requires the user to change their password upon their next login. 
 
$ sudo chage -d 0 [UserName] 
 
or  
 
$ sudo passwd -e [UserName]",C-41571r654256_chk,"Verify a policy exists that ensures when a user account is created, it is created using a method that forces a user to change their password upon their next login. 
 
If a policy does not exist, this is a finding."
V-238360,medium,The Ubuntu operating system must be configured to use AppArmor.,"Control of program execution is a mechanism used to prevent execution of unauthorized programs. Some operating systems may provide a capability that runs counter to the mission or provides users with functionality that exceeds mission requirements. This includes functions and services installed at the operating system-level. 
 
Some of the programs, installed by default, may be harmful or may not be necessary to support essential organizational operations (e.g., key missions, functions). Removal of executable programs is not always possible; therefore, establishing a method of preventing program execution is critical to maintaining a secure system baseline. 
 
Methods for complying with this requirement include restricting execution of programs in certain environments, while preventing execution in other environments; or limiting execution of certain program functionality based on organization-defined criteria (e.g., privileges, subnets, sandboxed environments, or roles).

Satisfies: SRG-OS-000368-GPOS-00154, SRG-OS-000312-GPOS-00122, SRG-OS-000312-GPOS-00123, SRG-OS-000312-GPOS-00124, SRG-OS-000324-GPOS-00125, SRG-OS-000370-GPOS-00155",None,SV-238360r853435_rule,F-41529r654254_fix,"Install ""AppArmor"" (if it is not installed) with the following command: 
 
$ sudo apt-get install apparmor 
 
$ sudo systemctl enable apparmor.service 
 
Start ""apparmor"" with the following command: 
 
$ sudo systemctl start apparmor.service 
 
Note: AppArmor must have properly configured profiles for applications and home directories. All configurations will be based on the actual system setup and organization and normally are on a per role basis. See the AppArmor documentation for more information on configuring profiles.",C-41570r654253_chk,"Verify the operating system prevents program execution in accordance with local policies. 
 
Check that AppArmor is installed and active by running the following command, 
 
$ dpkg -l | grep apparmor 
 
If the ""apparmor"" package is not installed, this is a finding. 
 
$ systemctl is-active apparmor.service 
 
active 
 
If ""active"" is not returned, this is a finding. 
 
$ systemctl is-enabled apparmor.service 
 
enabled 
 
If ""enabled"" is not returned, this is a finding."
V-238367,medium,The Ubuntu operating system must configure the uncomplicated firewall to rate-limit impacted network interfaces.,"Denial of service (DoS) is a condition when a resource is not available for legitimate users. When this occurs, the organization either cannot accomplish its mission or must operate at degraded capacity. 
 
This requirement addresses the configuration of the operating system to mitigate the impact of DoS attacks that have occurred or are ongoing on system availability. For each system, known and potential DoS attacks must be identified and solutions for each type implemented. A variety of technologies exist to limit or, in some cases, eliminate the effects of DoS attacks (e.g., limiting processes or establishing memory partitions). Employing increased capacity and bandwidth, combined with service redundancy, may reduce the susceptibility to some DoS attacks.",None,SV-238367r853444_rule,F-41536r654275_fix,"Configure the application firewall to protect against or limit the effects of DoS attacks by ensuring the Ubuntu operating system is implementing rate-limiting measures on impacted network interfaces. 
 
Check all the services listening to the ports with the following command: 
 
$ sudo ss -l46ut 
 
Netid               State                Recv-Q                Send-Q                               Local Address:Port                               Peer Address:Port               Process                
tcp                 LISTEN               0                     128                                           [::]:ssh                                        [::]:* 
 
For each service with a port listening to connections, run the following command, replacing ""[service]"" with the service that needs to be rate limited. 
 
$ sudo ufw limit [service] 
 
Rate-limiting can also be done on an interface. An example of adding a rate-limit on the eth0 interface follows: 
 
$ sudo ufw limit in on eth0",C-41577r654274_chk,"Verify an application firewall is configured to rate limit any connection to the system. 
 
Check all the services listening to the ports with the following command: 
 
$ sudo ss -l46ut 
 
Netid               State                Recv-Q                Send-Q                               Local Address:Port                               Peer Address:Port               Process                
tcp                 LISTEN               0                     128                                           [::]:ssh                                        [::]:* 
 
For each entry, verify that the Uncomplicated Firewall is configured to rate limit the service ports with the following command: 
 
$ sudo ufw status 
 
Status: active 
 
To                         Action      From 
--                         ------      ---- 
22/tcp                     LIMIT       Anywhere                   
22/tcp (v6)                LIMIT       Anywhere (v6) 
 
If any port with a state of ""LISTEN"" is not marked with the ""LIMIT"" action, this is a finding."
V-238366,medium,Ubuntu operating system must implement cryptographic mechanisms to prevent unauthorized disclosure of all information at rest.,"Operating systems handling data requiring ""data at rest"" protections must employ cryptographic mechanisms to prevent unauthorized disclosure and modification of the information at rest. 
 
Selection of a cryptographic mechanism is based on the need to protect the integrity of organizational information. The strength of the mechanism is commensurate with the security category and/or classification of the information. Organizations have the flexibility to either encrypt all information on storage devices (i.e., full disk encryption) or encrypt specific data structures (e.g., files, records, or fields).",None,SV-238366r877378_rule,F-41535r654272_fix,"To encrypt an entire partition, dedicate a partition for encryption in the partition layout. 
 
Note: Encrypting a partition in an already-installed system is more difficult because it will need to be resized and existing partitions changed.",C-41576r654271_chk,"If there is a documented and approved reason for not having data-at-rest encryption, this requirement is Not Applicable. 
 
Verify the Ubuntu operating system prevents unauthorized disclosure or modification of all information requiring at-rest protection by using disk encryption.  
 
Determine the partition layout for the system with the following command: 
 
$sudo fdisk -l 
(..) 
Disk /dev/vda: 15 GiB, 16106127360 bytes, 31457280 sectors 
Units: sectors of 1 * 512 = 512 bytes 
Sector size (logical/physical): 512 bytes / 512 bytes 
I/O size (minimum/optimal): 512 bytes / 512 bytes 
Disklabel type: gpt 
Disk identifier: 83298450-B4E3-4B19-A9E4-7DF147A5FEFB 
 
Device       Start      End  Sectors Size Type 
/dev/vda1     2048     4095     2048   1M BIOS boot 
/dev/vda2     4096  2101247  2097152   1G Linux filesystem 
/dev/vda3  2101248 31455231 29353984  14G Linux filesystem 
(...) 
 
Verify that the system partitions are all encrypted with the following command: 
 
$ more /etc/crypttab 
 
Every persistent disk partition present must have an entry in the file.  
 
If any partitions other than the boot partition or pseudo file systems (such as /proc or /sys) are not listed, this is a finding."
V-238365,medium,Ubuntu operating system must implement cryptographic mechanisms to prevent unauthorized modification of all information at rest.,"Operating systems handling data requiring ""data at rest"" protections must employ cryptographic mechanisms to prevent unauthorized disclosure and modification of the information at rest. 
 
Selection of a cryptographic mechanism is based on the need to protect the integrity of organizational information. The strength of the mechanism is commensurate with the security category and/or classification of the information. Organizations have the flexibility to either encrypt all information on storage devices (i.e., full disk encryption) or encrypt specific data structures (e.g., files, records, or fields).",None,SV-238365r877379_rule,F-41534r654269_fix,"To encrypt an entire partition, dedicate a partition for encryption in the partition layout. 
 
Note: Encrypting a partition in an already-installed system is more difficult because it will need to be resized and existing partitions changed.",C-41575r654268_chk,"If there is a documented and approved reason for not having data-at-rest encryption, this requirement is Not Applicable. 
 
Verify the Ubuntu operating system prevents unauthorized disclosure or modification of all information requiring at-rest protection by using disk encryption.  
 
Determine the partition layout for the system with the following command: 
 
$ sudo fdisk -l 
(..) 
Disk /dev/vda: 15 GiB, 16106127360 bytes, 31457280 sectors 
Units: sectors of 1 * 512 = 512 bytes 
Sector size (logical/physical): 512 bytes / 512 bytes 
I/O size (minimum/optimal): 512 bytes / 512 bytes 
Disklabel type: gpt 
Disk identifier: 83298450-B4E3-4B19-A9E4-7DF147A5FEFB 
 
Device       Start      End  Sectors Size Type 
/dev/vda1     2048     4095     2048   1M BIOS boot 
/dev/vda2     4096  2101247  2097152   1G Linux filesystem 
/dev/vda3  2101248 31455231 29353984  14G Linux filesystem 
(...) 
 
Verify that the system partitions are all encrypted with the following command: 
 
$ more /etc/crypttab 
 
Every persistent disk partition present must have an entry in the file. 
 
If any partitions other than the boot partition or pseudo file systems (such as /proc or /sys) are not listed, this is a finding."
V-238364,medium,The Ubuntu operating system must use DoD PKI-established certificate authorities for verification of the establishment of protected sessions.,"Untrusted Certificate Authorities (CA) can issue certificates, but they may be issued by organizations or individuals that seek to compromise DoD systems or by organizations with insufficient security controls. If the CA used for verifying the certificate is not a DoD-approved CA, trust of this CA has not been established. 
 
The DoD will only accept PKI-certificates obtained from a DoD-approved internal or external certificate authority. Reliance on CAs for the establishment of secure sessions includes, for example, the use of SSL/TLS certificates.",None,SV-238364r880902_rule,F-41533r880901_fix,"Configure the Ubuntu operating system to use of DoD PKI-established certificate authorities for verification of the establishment of protected sessions. 
 
Edit the ""/etc/ca-certificates.conf"" file, adding the character ""!"" to the beginning of all uncommented lines that do not start with the ""!"" character with the following command: 
 
     $ sudo sed -i -E 's/^([^!#]+)/!\1/' /etc/ca-certificates.conf 
 
Add at least one DoD certificate authority to the ""/usr/local/share/ca-certificates"" directory in the PEM format. 
 
Update the ""/etc/ssl/certs"" directory with the following command: 
 
     $ sudo update-ca-certificates",C-41574r880900_chk,"Verify the directory containing the root certificates for the Ubuntu operating system contains certificate files for DoD PKI-established certificate authorities by iterating over all files in the ""/etc/ssl/certs"" directory and checking if, at least one, has the subject matching ""DOD ROOT CA"".

If none is found, this is a finding."
V-238369,medium,The Ubuntu operating system must implement address space layout randomization to protect its memory from unauthorized code execution.,"Some adversaries launch attacks with the intent of executing code in non-executable regions of memory or in memory locations that are prohibited. Security safeguards employed to protect memory include, for example, data execution prevention and address space layout randomization. Data execution prevention safeguards can either be hardware-enforced or software-enforced with hardware providing the greater strength of mechanism. 
 
Examples of attacks are buffer overflow attacks.",None,SV-238369r853446_rule,F-41538r654281_fix,"Remove the ""kernel.randomize_va_space"" entry found in the ""/etc/sysctl.conf"" file or any file located in the ""/etc/sysctl.d/"" directory. 
 
After the line has been removed, the kernel settings from all system configuration files must be reloaded before any of the changes will take effect. Run the following command to reload all of the kernel system configuration files: 
 
$ sudo sysctl --system",C-41579r654280_chk,"Verify the Ubuntu operating system implements address space layout randomization (ASLR) with the following command: 
 
$ sudo sysctl kernel.randomize_va_space 
 
kernel.randomize_va_space = 2 
 
If nothing is returned, verify the kernel parameter ""randomize_va_space"" is set to ""2"" with the following command: 
 
$ cat /proc/sys/kernel/randomize_va_space 
 
2 
 
If ""kernel.randomize_va_space"" is not set to ""2"", this is a finding. 
 
Verify that a saved value of the ""kernel.randomize_va_space"" variable is not defined. 
 
$ sudo egrep -R ""^kernel.randomize_va_space=[^2]"" /etc/sysctl.conf /etc/sysctl.d 
 
If this returns a result, this is a finding."
V-238368,medium,The Ubuntu operating system must implement nonexecutable data to protect its memory from unauthorized code execution.,"Some adversaries launch attacks with the intent of executing code in nonexecutable regions of memory or in memory locations that are prohibited. Security safeguards employed to protect memory include, for example, data execution prevention and address space layout randomization. Data execution prevention safeguards can either be hardware-enforced or software-enforced with hardware providing the greater strength of mechanism. 
 
Examples of attacks are buffer overflow attacks.",None,SV-238368r880910_rule,F-41537r654278_fix,"Configure the Ubuntu operating system to enable NX. 
 
If ""nx"" is not showing up in ""/proc/cpuinfo"", and the system's BIOS setup configuration permits toggling the No Execution bit, set it to ""enable"".",C-41578r880909_chk,"Verify the NX (no-execution) bit flag is set on the system with the following commands: 
 
     $ sudo dmesg | grep -i ""execute disable"" 
     [    0.000000] NX (Execute Disable) protection: active 
 
If ""dmesg"" does not show ""NX (Execute Disable) protection: active"", check the cpuinfo settings with the following command:  
 
     $ grep flags /proc/cpuinfo | grep -w nx | sort -u 
     flags       : fpu vme de pse tsc ms nx rdtscp lm constant_tsc 
 
If ""flags"" does not contain the ""nx"" flag, this is a finding."
V-238284,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the chacl command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one. 
 
Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-238284r928523_rule,F-41453r654026_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""chacl"" command.  
 
Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file: 
 
-a always,exit -F path=/usr/bin/chacl -F perm=x -F auid>=1000 -F auid!=4294967295 -k perm_chng 
    
To reload the rules file, issue the following command: 
 
$ sudo augenrules --load",C-41494r928522_chk,"Verify the Ubuntu operating system generates an audit record upon successful/unsuccessful attempts to use the ""chacl"" command. 
 
Check the currently configured audit rules with the following command: 
 
$ sudo auditctl -l | grep chacl 
 
-a always,exit -F path=/usr/bin/chacl -F perm=x -F auid>=1000 -F auid!=-1 -k perm_chng 
 
If the command does not return a line that matches the example or the line is commented out, this is a finding. 
 
Note: The ""-k"" allows for specifying an arbitrary identifier, and the string after it does not need to match the example output above."
V-238285,medium,The Ubuntu operating system must generate audit records for the use and modification of the tallylog file.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one. 
 
Audit records can be generated from various components within the information system (e.g., module or policy filter).

Satisfies: SRG-OS-000064-GPOS-00033, SRG-OS-000470-GPOS-00214, SRG-OS-000473-GPOS-00218",None,SV-238285r654030_rule,F-41454r654029_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful modifications to the ""tallylog"" file.  
 
Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file: 
 
-w /var/log/tallylog -p wa -k logins 
   
To reload the rules file, issue the following command: 
 
$ sudo augenrules --load",C-41495r654028_chk,"Verify the Ubuntu operating system generates an audit record upon successful/unsuccessful modifications to the ""tallylog"" file. 
 
Check the currently configured audit rules with the following command: 
 
$ sudo auditctl -l | grep tallylog 
 
-w /var/log/tallylog -p wa -k logins 
 
If the command does not return a line that matches the example or the line is commented out, this is a finding. 
 
Note: The ""-k"" allows for specifying an arbitrary identifier, and the string after it does not need to match the example output above."
V-238286,medium,The Ubuntu operating system must generate audit records for the use and modification of faillog file.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one. 
 
Audit records can be generated from various components within the information system (e.g., module or policy filter).

Satisfies: SRG-OS-000064-GPOS-00033, SRG-OS-000470-GPOS-00214, SRG-OS-000473-GPOS-00218",None,SV-238286r654033_rule,F-41455r654032_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful modifications to the ""faillog"" file.  
 
Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file: 
 
-w /var/log/faillog -p wa -k logins 
   
To reload the rules file, issue the following command: 
 
$ sudo augenrules --load",C-41496r654031_chk,"Verify the Ubuntu operating system generates an audit record upon successful/unsuccessful modifications to the ""faillog"" file. 
 
Check the currently configured audit rules with the following command: 
 
$ sudo auditctl -l | grep faillog 
 
-w /var/log/faillog -p wa -k logins 
 
If the command does not return a line that matches the example or the line is commented out, this is a finding. 
 
Note: The ""-k"" allows for specifying an arbitrary identifier, and the string after it does not need to match the example output above."
